VesselIdx,VesselName,VesselMMSI,VesselCall,VesselType,VesselTon,VesselBuilt,VesselLoc,VesselPermit,VesselMaterial,VesselEng,VesselPower,VesselSpd,VesselDim,dateIssue,dateExpire,certiNo,certiOrg,VesselRemarks,tbYard_YardIdx,tbUser_UserIdx,VesselRegDate
92,삼성,,,어선,,2012-01-15,부산,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
93,삼양,,,어선,,2013-03-15,부산,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
94,럭키,,,어선,,2014-05-15,전남,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
95,새마을,,,어선,,2015-02-10,전남,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
96,성신,,,어선,,2011-01-15,부산,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
97,세계,,,어선,,2004-01-15,경남,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
98,소호,,,어선,,2007-02-15,전남,연안복합,FRP,현대마린,,,,,,,,,,,2018-12-14 09:53:15
99,송화,,,어선,,2003-04-15,전남,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
100,신라,,,어선,,2010-01-15,전남,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
101,아사카,,,어선,,2007-06-15,부산,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
102,에이스,,,어선,,2012-01-15,부산,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
103,연정,,,어선,,2015-06-15,부산,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
104,영진,,,어선,,2012-03-15,전남,,FRP,현대마린,,,,,,,,,,,2018-12-14 09:53:15
105,오리엔트,,,어선,,2011-02-15,전남,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
106,한길,,,어선,,2008-05-15,경남,,FRP,현대마린,,,,,,,,,,,2018-12-14 09:53:15
107,,,,,,,,,,,,,,,,,,,,,
108,테스트 2호,,,어선,5.6,2010-12-14,경남,undefined,FRP,대동,250,0,,,,,,,0,18,2018-12-19 12:47:30
110,테스트5,,,어선,10,2018-12-14,,연안복합,FRP,,,0,,,,,,,0,20,2018-12-14 15:43:42
112,테스트27,,,어선,0,2018-12-14,,연안복합,FRP,,,0,,,,,,,0,18,2018-12-14 17:13:23
114,테스트3호,,,어선,0,2018-12-19,,undefined,FRP,,,0,,,,,,,0,18,2018-12-19 12:50:13
115,테스트,,,어선,0,2018-12-19,,undefined,FRP,,,0,,,,,,,0,18,2018-12-19 15:23:23
119,화명1호,,,어선,10,2009-09-01,전남,낚시,FRP,대우,430,0,,,,,,,0,20,2018-12-20 13:54:20
120,화명2호,,,어선,19,2009-01-01,경북,undefined,알루미늄,볼보팬타,190,0,,,,,,,0,20,2018-12-19 15:35:29
121,화명3호,,,관공선,50,2012-02-01,경남,undefined,강철,현대마린,500,0,,,,,,,0,20,2018-12-19 15:34:58
123,주례1호,,,어선,3,2005-05-01,경남,undefined,FRP,대우,197,0,,,,,,,0,19,2018-12-19 15:44:34
124,주례2호,,,상선,39,2018-12-19,부산,undefined,FRP,두산,150,0,,,,,,,0,19,2018-12-19 15:44:51
125,주례3호,,,상선,18,1982-04-01,전북,undefined,강철,혼다,150,0,,,,,,,0,19,2018-12-19 15:54:08
130,명지1호,,,어선,1,1984-01-01,부산,undefined,FRP,얀마,40,0,,,,,,,0,33,2018-12-19 16:02:56
131,명지2호,,,상선,18,1988-10-01,충남,undefined,알루미늄,야마하,480,0,,,,,,,0,33,2018-12-19 16:03:09
132,명지3호,,,관공선,99,2001-12-01,전남,undefined,강철,대동 마린,860,0,,,,,,,0,33,2018-12-19 16:03:22
133,괴정1호,,,어선,3,2000-01-01,경남,undefined,FRP,현대 씨즈올,240,0,,,,,,,0,32,2018-12-19 16:12:44
134,괴정2호,,,어선,30,1970-01-01,부산,undefined,강철,도하츠,316,0,,,,,,,0,32,2018-12-19 16:12:54
135,괴정3호,,,어선,9,1984-03-01,경북,undefined,강철,커민스,265,0,,,,,,,0,32,2018-12-19 16:13:03
136,괴정4호,,,어선,10,2010-01-01,전남,undefined,알루미늄,볼보팬타,400,0,,,,,,,0,32,2018-12-19 16:13:13
137,괴정5호,,,관공선,29,1996-02-01,전북,undefined,FRP,현대마린,430,0,,,,,,,0,32,2018-12-19 16:13:21
139,테스트2,,,어선,0,2018-12-19,,undefined,FRP,,,0,,,,,,,0,41,2018-12-19 18:29:15
140,청산1,,,어선,0,2018-12-20,,undefined,FRP,,,0,,,,,,,0,50,2018-12-20 11:59:38
142,망미1호,,,어선,5,2008-05-15,부산,연안통발,FRP,,,0,,,,,,,0,54,2018-12-21 14:54:23
143,건양호,,,어선,0,2019-01-04,경남,연안복합,연안자망,FRP,,,0,,,,,,,0,55,2019-03-14 22:27:30
144,테스트123,,,1,2,어선,0,2019-01-28,,연안복합,FRP,,,0,,2019-01-08 00:00:00,2019-01-23 00:00:00,undefined,undefined,,0,59,2019-01-28 11:20:14
145,테스트345,,,,,어선,0,2019-01-28,,연안복합,연안자망,,FRP,,,0,,2019-01-23 00:00:00,2019-01-15 00:00:00,undefined,undefined,,0,59,2019-01-28 15:46:24
146,test,,,,,어선,0,2019-05-23,,undefined,FRP,,,0,,0000-00-00 00:00:00,0000-00-00 00:00:00,undefined,undefined,,0,61,2019-05-23 14:34:23
