idx,srcType,factoryName,area1,area2,area3,address,Latitude,Longitude,Product,yearPermitted,yearClosed,Remarks
1138,mfac,웅포석면공장,충남,보령군,오천면,충남 보령군 오천면 교성리,36.617338,126.845397,,1973,1976,
1139,mfac,주포역,충남,보령군,주포면,충남 보령군 주포면 봉당리,36.617338,126.845397,,1970,1975,
1140,mfac,석면(흑연)공장,충남,보령군,청소면,충남 보령군 청소면 진죽리,36.617338,126.845397,,1968,1975,
1141,mfac,죽림광업소,충남,보령군,청소면,충남 보령군 청소면 죽심리,36.617338,126.845397,,1965,1975,
1142,mfac,중앙파우텍,충남,보령군,청소면,충남 보령군 청소면 야현리,36.617338,126.845397,,1965,1994,
1143,mfac,한국석면공장,충남,보령군,청소면,충남 보령군 청소면 야현리,36.617338,126.845397,,1959,1983,
1144,mfac,정전석면가공공장,충남,보령군,청소면,충남 보령군 청소면 정전이,36.617338,126.845397,,1973,1974,
1145,mfac,구봉석면광업소,충남,청양군,남양면,충남 청양군 남양면 구룡리,36.4078154,126.76295,,1957,1965,
1146,mfac,청호환경(비봉석면광산),충남,청양군,비봉면,충남 청양군 비봉면 강정리,36.514025,126.774675,,1968,1978,
1147,repa,보고,강원,삼척,근덕,강원 삼척시 근덕면 동막리 790-3 농공단지 1블럭,37.3355522,129.2314759,,0,0,
1148,repa,칠성조선소,강원,속초,교동,강원 속초시 교동 664-110,38.1983542,128.5836822,,0,0,
1149,repa,대창조선공업사,강원,속초,조양,강원속초시조양동1034-24 ,38.1913246,128.5925224,,0,0,
1150,repa,서울중공업,강원,원주,문막,강원 원주시 문막읍 후용리 821,37.2752492,127.7945138,,0,0,
1151,repa,한양마린산업,강원,춘천,남산,강원 춘천시 남산면 창촌리 300-8(창촌농공단지),37.7839665,127.640382,,0,0,
1152,repa,태흥건설산업(주),경기,성남,분당,경기 성남시 분당구 구미동?로드랜드 이지타워 ..,37.3828195,127.1189255,,0,0,
1153,repa,시흥조선,경기,시흥,월곶,경기 시흥시 월곶동 1017-3,37.3850247,126.7414085,,0,0,
1154,repa,에이원마린테크,경기,양평,양평,경기 양평군 양평읍 덕평리 44번지,37.5036249,127.4993124,,0,0,
1155,repa,동민기업,경남,거제,아주,경남 거제시 아주동 1 대우조선해양(주),34.8722114,128.6957017,,0,0,
1156,repa,성우,경남,거제,아주,경남 거제시 아주동 1,34.8722114,128.6957017,,0,0,
1157,repa,제일산업,경남,거제,아주,경남 거제시 아주동 1 대우조선해양(주),34.8722114,128.6957017,,0,0,
1158,repa,태일기업,경남,거제,아주,경남 거제시 아주동 1,34.8722114,128.6957017,,0,0,
1159,repa,대성기업,경남,거제,연초,경남 거제시 연초면 한내리 777,34.9410132,128.5959793,,0,0,
1160,repa,한림정공,경남,거제,연초,경남 거제시 연초면 죽토리 382-8,34.9110812,128.6592162,,0,0,
1161,repa,거성산업,경남,거제,장평,경남 거제시 장평동 530,34.8998142,128.6024892,,0,0,
1162,repa,거진산업,경남,거제,장평,경남 거제시 장평동 530 (주)삼성중공업내,34.8998142,128.6024892,,0,0,
1163,repa,고당기업,경남,거제,장평,경남 거제시 장평동 530 (주)삼성중공업내,34.8998142,128.6024892,,0,0,
1164,repa,구룡기업사,경남,거제,장평,경남 거제시 장평동 530,34.8998142,128.6024892,,0,0,
1165,repa,대영기업,경남,거제,장평,경남 거제시 장평동 530 삼성중공업,34.8998142,128.6024892,,0,0,
1166,repa,상생기업,경남,거제,장평,경남 거제시 장평동 530 (주)삼성중공업,34.8998142,128.6024892,,0,0,
1167,repa,세진기업,경남,거제,장평,경남 거제시 장평동 530 (주)삼성중공업,34.8998142,128.6024892,,0,0,
1168,repa,영욱기업,경남,거제,장평,경남 거제시 장평동 530 (주)삼성중공업,34.8998142,128.6024892,,0,0,
1169,repa,용주산업,경남,거제,장평,경남 거제시 장평동 530,34.8998142,128.6024892,,0,0,
1170,repa,정석기업,경남,거제,장평,경남 거제시 장평동 530 삼성중공업,34.8998142,128.6024892,,0,0,
1171,repa,창일기업,경남,거제,장평,경남 거제시 장평동 530 (주)삼성중공업,34.8998142,128.6024892,,0,0,
1172,repa,태기산업,경남,거제,장평,경남 거제시 장평동 530 (주)삼성중공업내,34.8998142,128.6024892,,0,0,
1173,repa,태원기업,경남,거제,장평,경남 거제시 장평동 530,34.8998142,128.6024892,,0,0,
1174,repa,티에스이,경남,거제,장평,경남 거제시 장평동 530 삼성중공업내,34.8998142,128.6024892,,0,0,
1175,repa,월드중공업,경남,고성,고성,경남 고성군 고성읍 우산리 92-2,35.0046398,128.3366127,,0,0,
1176,repa,삼호조선해양,경남,고성,동해,경남 고성군 동해면 용정리 278-1,35.0277721,128.4832831,,0,0,
